Proportion of sun hours per timestep.
Time 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
9.782000e+03 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
9.855000e+03 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
9.928000e+03 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.000100e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.007400e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.014700e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.022000e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.029300e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.036600e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.043900e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.051200e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.058500e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.065800e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.073100e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.080400e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.087700e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.095000e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.102300e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.109600e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.116900e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.124200e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.131500e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.138800e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.146100e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.153400e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.160700e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.168000e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.175300e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.182600e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.189900e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.197200e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.204500e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.211800e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.219100e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.226400e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.233700e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.241000e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.248300e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.255600e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.262900e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
1.270200e+04 0.407354 0.391858 0.380835 0.372306 0.359375 0.352248 0.380781 0.399590 0.406500 0.404482 0.390513 0.369098 0.330130 0.327597 0.352352 0.386321 0.373546 0.319362 0.263323 0.246641 0.000000 0.258492 0.221031 0.291652 0.293906 0.327946 0.284956 0.344734 0.351179 0.351369 0.346138 0.362569 0.370490 0.357071 0.366930 0.365020 0.367187 0.364437 0.344834 0.333929 0.329630 0.335435 0.288764 0.301631 0.234608 0.298638 0.216765 0.255250 0.164707 0.082080 0.074751 0.000000 0.000000 0.376063 0.310729 0.000000 0.000000 0.220685 0.376653 0.407102
1.277500e+04 0.223258 0.153815 0.077111 0.000000 0.000000 0.000000 0.076556 0.191135 0.219907 0.211833 0.146487 0.000000 0.000000 0.000000 0.000000 0.121118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222273
1.284800e+04 0.480256 0.476812 0.474409 0.472578 0.469847 0.468367 0.474398 0.478521 0.480064 0.479612 0.476516 0.471895 0.463888 0.463387 0.468388 0.475600 0.472842 0.461774 0.451559 0.448799 0.425210 0.450745 0.444842 0.456550 0.456963 0.463456 0.455337 0.466825 0.468146 0.468185 0.467112 0.470516 0.472191 0.469367 0.471436 0.471032 0.471490 0.470909 0.466846 0.464644 0.463789 0.464946 0.456025 0.458394 0.446897 0.457837 0.444217 0.450206 0.437440 0.430219 0.429804 0.417063 0.410334 0.473382 0.460112 0.411692 0.399330 0.444791 0.473508 0.480200
1.292100e+04 0.769301 0.833054 0.896664 1.000000 1.000000 1.000000 0.897066 0.799139 0.772433 0.779963 0.839574 1.000000 1.000000 1.000000 1.000000 0.861619 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.941315 1.000000 1.000000 1.000000 1.000000 0.934184 0.770222
1.299400e+04 0.701058 0.739103 0.768590 0.793428 0.836421 0.864791 0.768741 0.719708 0.703076 0.707872 0.742574 0.803382 1.000000 1.000000 0.864341 0.753606 0.789682 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.902194 0.869508 0.868661 0.894279 0.825000 0.799015 0.845096 0.810336 0.816641 0.809501 0.818603 0.901608 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782226 1.000000 1.000000 1.000000 1.000000 0.780505 0.701653
